"","STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"43","USC00335786","NEW CARLISLE, OH US",39.9317,-84.0329,266.4,"2022-01-01",NA,59,45,56
"55","USC00335667","NAPOLEON 1 SW, OH US",41.3816,-84.1513,204.2,"2022-01-01",NA,46,40,43
"61","USW00014852","YOUNGSTOWN WARREN REGIONAL AIRPORT, OH US",41.25478,-80.67361,355.6,"2022-01-01",50,55,38,NA
"73","USC00331072","BUCYRUS, OH US",40.8126,-82.9698,291.1,"2022-01-01",NA,56,39,51
"79","USC00332160","DENNISON WATER WORKS, OH US",40.4056,-81.3435,262.1,"2022-01-01",NA,56,47,54
"203","USC00339220","WEATHER FORECAST OFFICE WILMINGTON, OH US",39.42157,-83.82225,321,"2022-01-01",NA,62,42,NA
"243","USC00330676","BEVERLY STP, OH US",39.54747,-81.62835,190.2,"2022-01-01",NA,57,46,56
"273","USC00331404","CENTERBURG 2 SE, OH US",40.2913,-82.6546,367.3,"2022-01-01",NA,55,43,51
"315","USC00338830","WAVERLY, OH US",39.1114,-82.9797,174.3,"2022-01-01",NA,66,44,57
"321","USC00338951","WESTERVILLE, OH US",40.1268,-82.9441,244.4,"2022-01-01",NA,57,44,44
"327","USC00332974","FREMONT, OH US",41.33353,-83.11959,182.9,"2022-01-01",NA,52,37,43
"333","USC00333029","GALLIPOLIS, OH US",38.82075,-82.18171,176.2,"2022-01-01",NA,62,43,56
"359","USC00336781","PORTSMOUTH SCIOTOVILLE, OH US",38.7569,-82.8872,164.6,"2022-01-01",NA,54,42,54
"417","USC00331516","CHEVIOT 3 W, OH US",39.15141,-84.67699,260,"2022-01-01",NA,64,49,57
"429","USC00333375","GREENVILLE WATER PLANT, OH US",40.1032,-84.6504,313.9,"2022-01-01",NA,57,35,35
"445","USC00336405","PANDORA, OH US",40.9462,-83.9614,234.7,"2022-01-01",NA,54,29,29
"452","USC00338822","WAUSEON WATER PLANT, OH US",41.5183,-84.1452,228.6,"2022-01-01",NA,47,39,40
"484","USC00333021","GALION WATER WORKS, OH US",40.7231,-82.7999,356.6,"2022-01-01",NA,54,40,52
"577","USW00014895","AKRON CANTON AIRPORT, OH US",40.91811,-81.44342,368.8,"2022-01-01",51,56,40,NA
"600","USW00094830","TOLEDO EXPRESS AIRPORT, OH US",41.58705,-83.80538,205.5,"2022-01-01",43,46,28,NA
"606","USC00338062","STOW 4 SE, OH US",41.1315,-81.4491,323.1,"2022-01-01",NA,53,39,49
"612","USW00014891","MANSFIELD LAHM REGIONAL AIRPORT, OH US",40.8204,-82.51769,392.8,"2022-01-01",49,57,36,NA
"648","USC00338609","VAN WERT 1 S, OH US",40.8494,-84.5808,240.8,"2022-01-01",NA,50,38,45
"654","USC00334927","MARIETTA WWTP, OH US",39.4087,-81.4329,185.9,"2022-01-01",NA,61,53,55
"666","USC00334004","JACKSON 3 NW, OH US",39.07908,-82.70644,257.6,"2022-01-01",NA,59,43,56
"686","USC00330563","BELLEFONTAINE, OH US",40.3535,-83.7754,358.4,"2022-01-01",NA,55,42,47
"776","USC00333500","HANNIBAL LOCKS AND DAM, OH US",39.6667,-80.8667,189,"2022-01-01",NA,54,43,52
"830","USW00004852","NEW PHILADELPHIA CLEVER FIELD, OH US",40.47031,-81.42176,271.7,"2022-01-01",NA,57,42,NA
"866","USW00004850","LIMA ALLEN CO AIRPORT, OH US",40.70806,-84.0214,293,"2022-01-01",NA,56,32,NA
"878","USW00004851","DEFIANCE AIRPORT, OH US",41.3357,-84.4285,215,"2022-01-01",NA,45,28,NA
"914","USC00334979","MARYSVILLE, OH US",40.19382,-83.26751,295.7,"2022-01-01",NA,56,44,54
"1005","USW00093824","ZANESVILLE MUNICIPAL AIRPORT, OH US",39.94609,-81.89315,268.6,"2022-01-01",NA,59,43,NA
"1022","USC00333758","HILLSBORO, OH US",39.2334,-83.6091,290.5,"2022-01-01",NA,62,48,58
"1024","USC00335939","NEWPORT, OH US",39.39328,-81.21932,206,"2022-01-01",NA,61,45,55
"1042","USC00338769","WARREN 3 S, OH US",41.2019,-80.8105,274.3,"2022-01-01",NA,53,35,47
"1060","USC00336465","PAULDING, OH US",41.1247,-84.5919,221,"2022-01-01",NA,49,31,42
"1078","USW00093815","DAYTON INTERNATIONAL AIRPORT, OH US",39.90638,-84.21853,302.6,"2022-01-01",55,60,40,NA
"1141","USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",39.106,-84.41609,144.8,"2022-01-01",NA,65,51,NA
"1325","USC00331592","CIRCLEVILLE, OH US",39.6104,-82.9555,205.7,"2022-01-01",NA,62,45,57
"1402","USR0000OCHL","CHILLICOTHE OHIO, OH US",39.3858,-82.985,192,"2022-01-01",57,64,46,NA
"1416","USC00335505","MOSQUITO CREEK LAKE, OH US",41.29861,-80.76472,277.4,"2022-01-01",NA,52,37,48
"1422","USC00335747","NEWARK WATER WORKS, OH US",40.0875,-82.4128,254.5,"2022-01-01",NA,57,45,52
"1502","USW00014813","AKRON FULTON INTERNATIONAL AIRPORT, OH US",41.03732,-81.46341,318.1,"2022-01-01",NA,57,40,NA
"1521","USW00013841","WILMINGTON AIR PARK, OH US",39.43084,-83.777,324.9,"2022-01-01",NA,61,42,NA
"1545","USC00335857","NEW LEXINGTON 2 NW, OH US",39.73315,-82.21559,267.3,"2022-01-01",NA,56,42,56
"1594","USW00014820","CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.40568,-81.85191,236.8,"2022-01-01",47,54,37,NA
"1600","USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US",39.99068,-82.87703,246.8,"2022-01-01",55,59,41,NA
"1612","USC00334770","LUCASVILLE, OH US",38.8845,-82.9955,173.1,"2022-01-01",NA,65,40,NA
"1621","USW00014825","FINDLAY AIRPORT, OH US",41.01369,-83.66814,246.5,"2022-01-01",NA,57,33,NA
"1684","USC00331042","BRYAN 2 SE, OH US",41.4619,-84.5272,222.5,"2022-01-01",NA,47,26,42
"1690","USC00334551","LIMA WWTP, OH US",40.7247,-84.1294,259.1,"2022-01-01",NA,55,39,48
"1696","USC00334672","LOGAN, OH US",39.5326,-82.3939,220.1,"2022-01-01",NA,57,37,56
"1726","USC00334681","LONDON FISH HATCHERY, OH US",39.8972,-83.5096,341.4,"2022-01-01",NA,58,44,55
"1781","USC00332485","EATON, OH US",39.7328,-84.6353,305.4,"2022-01-01",NA,58,44,55
"1787","USC00466442","NEW CUMBERLAND L D, WV US",40.5261,-80.6275,205.7,"2022-01-01",NA,51,44,51
"1793","USC00337935","SPRINGFIELD WATER TREATMENT PLANT, OH US",39.9735,-83.8072,289.9,"2022-01-01",NA,61,46,57
"1810","USC00330862","BOWLING GREEN WWTP, OH US",41.3831,-83.6111,205.7,"2022-01-01",NA,48,28,28
"1830","USR0000OZAL","ZALESKI OHIO, OH US",39.2753,-82.385,222.5,"2022-01-01",57,59,55,NA
"1836","USC00332928","FRANKLIN, OH US",39.5536,-84.319,207,"2022-01-01",NA,62,49,58
